model_name,threshold,true_positives,false_positives,true_negatives,false_negatives,sensitivity_recall,specificity,PPV,NPV,F1_score,false_positive_rate,false_negative_rate,number_screened_positive,screen_positive_proportion,event_rate_among_screen_positive,event_rate_among_screen_negative,net_benefit,treat_all_net_benefit,treat_none_net_benefit,prevalence,n,unstable_threshold_note
P12_true_trained_clinical_landing_model,0.05,22558.0,1022370.0,6394.0,35.0,0.9984508476076661,0.006215225260603987,0.02158809027990445,0.9945559184943226,0.042262400458632665,0.993784774739396,0.0015491523923338857,1044928.0,0.9938850457075951,0.02158809027990445,0.005444081505677399,-0.029724391779786558,-0.030011189048259092,0.0,0.02148937040415387,1051357.0,
P12_true_trained_clinical_landing_model,0.1,22285.0,918110.0,110654.0,308.0,0.9863674589474616,0.10756014012932023,0.023697488821186843,0.9972242749770192,0.046283027410518096,0.8924398598706798,0.013632541052538416,940395.0,0.8944583048384136,0.023697488821186843,0.0027757250229808405,-0.07583268311546146,-0.08723403288427349,0.0,0.02148937040415387,1051357.0,
P10_true_trained_ultra_minimal_sensitivity_model,0.005,22593.0,1028764.0,0.0,0.0,1.0,0.0,0.02148937040415387,not_estimable_no_screen_negative,0.042074584477862095,1.0,0.0,1051357.0,1.0,0.02148937040415387,not_estimable_no_screen_negative,0.01657223156196369,0.01657223156196369,0.0,0.02148937040415387,1051357.0,
P10_true_trained_ultra_minimal_sensitivity_model,0.01,22593.0,1028764.0,0.0,0.0,1.0,0.0,0.02148937040415387,not_estimable_no_screen_negative,0.042074584477862095,1.0,0.0,1051357.0,1.0,0.02148937040415387,not_estimable_no_screen_negative,0.011605424650660476,0.011605424650660476,0.0,0.02148937040415387,1051357.0,
P10_true_trained_ultra_minimal_sensitivity_model,0.02,22593.0,1028751.0,13.0,0.0,1.0,1.2636523050962125e-05,0.02148963612290554,1.0,0.04207509379041787,0.999987363476949,0.0,1051344.0,0.9999876350278735,0.02148963612290554,0.0,0.0015200180648942858,0.0015197657185243574,0.0,0.02148937040415387,1051357.0,
P10_true_trained_ultra_minimal_sensitivity_model,0.03,22593.0,1028517.0,247.0,0.0,1.0,0.0002400939379682804,0.021494420184376518,1.0,0.042084263525388306,0.9997599060620317,0.0,1051110.0,0.9997650655295965,0.021494420184376518,0.0,-0.008766578929622706,-0.008773844944171268,0.0,0.02148937040415387,1051357.0,
P10_true_trained_ultra_minimal_sensitivity_model,0.05,22553.0,1021986.0,6778.0,40.0,0.998229540123047,0.006588488710724714,0.021591343166698418,0.9941331768847169,0.0422684353950589,0.9934115112892753,0.0017704598769530122,1044539.0,0.9935150476955021,0.021591343166698418,0.005866823115283074,-0.029709924261792395,-0.030011189048259092,0.0,0.02148937040415387,1051357.0,
P10_true_trained_ultra_minimal_sensitivity_model,0.1,22230.0,912806.0,115958.0,363.0,0.9839330766166512,0.11271584153411278,0.023774485688251575,0.9968793253152913,0.04642716542627677,0.8872841584658873,0.016066923383348808,935036.0,0.8893610828671897,0.023774485688251575,0.003120674684708694,-0.07532445105600563,-0.08723403288427349,0.0,0.02148937040415387,1051357.0,
M1_internal_rich_reference_model,0.005,22593.0,1028081.0,683.0,0.0,1.0,0.0006639034802928562,0.021503339760953446,1.0,0.04210135968030322,0.9993360965197071,0.0,1050674.0,0.9993503633875077,0.021503339760953446,0.0,0.016575496067554103,0.01657223156196369,0.0,0.02148937040415387,1051357.0,
M1_internal_rich_reference_model,0.01,22591.0,1026515.0,2249.0,2.0,0.9999114770061523,0.0021861184878164477,0.02153357239401929,0.9991115059973346,0.04215922567810551,0.9978138815121835,8.852299384765061e-05,1049106.0,0.9978589575187116,0.02153357239401929,0.000888494002665482,0.011625129823800685,0.011605424650660476,0.0,0.02148937040415387,1051357.0,
M1_internal_rich_reference_model,0.02,22581.0,1015914.0,12850.0,12.0,0.9994688620369141,0.012490717015758716,0.021743966027761328,0.999067019126108,0.04256197412467203,0.9875092829842412,0.0005311379630859037,1038495.0,0.987766286808382,0.021743966027761328,0.0009329808738920852,0.0017577865791446635,0.0015197657185243574,0.0,0.02148937040415387,1051357.0,
M1_internal_rich_reference_model,0.03,22505.0,998244.0,30520.0,88.0,0.9961049882707033,0.029666667962720314,0.022047535682131456,0.9971249346576059,0.04314021672663422,0.9703333320372797,0.003895011729296738,1020749.0,0.9708871487040083,0.022047535682131456,0.002875065342394145,-0.007959737532727586,-0.008773844944171268,0.0,0.02148937040415387,1051357.0,
M1_internal_rich_reference_model,0.05,22279.0,949232.0,79532.0,314.0,0.9861018899659186,0.0773083039453169,0.02293231883118153,0.9960674298023695,0.04482227211639828,0.9226916960546832,0.013898110034081368,971511.0,0.9240543411990408,0.02293231883118153,0.003932570197630439,-0.026328429779198144,-0.030011189048259092,0.0,0.02148937040415387,1051357.0,
M1_internal_rich_reference_model,0.1,21419.0,812037.0,216727.0,1174.0,0.9480370026114283,0.21066736394352836,0.02569901710468219,0.9946122321604766,0.050041527996645054,0.7893326360564716,0.051962997388571686,833456.0,0.7927430929741277,0.02569901710468219,0.005387767839523453,-0.06544621221272445,-0.08723403288427349,0.0,0.02148937040415387,1051357.0,
C1_dynamic_SOFA_clinical_comparator,0.005,22593.0,1028764.0,0.0,0.0,1.0,0.0,0.02148937040415387,not_estimable_no_screen_negative,0.042074584477862095,1.0,0.0,1051357.0,1.0,0.02148937040415387,not_estimable_no_screen_negative,0.01657223156196369,0.01657223156196369,0.0,0.02148937040415387,1051357.0,
C1_dynamic_SOFA_clinical_comparator,0.01,22593.0,1028764.0,0.0,0.0,1.0,0.0,0.02148937040415387,not_estimable_no_screen_negative,0.042074584477862095,1.0,0.0,1051357.0,1.0,0.02148937040415387,not_estimable_no_screen_negative,0.011605424650660476,0.011605424650660476,0.0,0.02148937040415387,1051357.0,
C1_dynamic_SOFA_clinical_comparator,0.02,22593.0,1028762.0,2.0,0.0,1.0,1.9440804693787884e-06,0.021489411283534106,1.0,0.042074662832837346,0.9999980559195306,0.0,1051355.0,0.999998097696596,0.021489411283534106,0.0,0.0015198045410428074,0.0015197657185243574,0.0,0.02148937040415387,1051357.0,
C1_dynamic_SOFA_clinical_comparator,0.03,22593.0,1028691.0,73.0,0.0,1.0,7.095893713232578e-05,0.02149086260230347,1.0,0.04207744462354627,0.9999290410628677,0.0,1051284.0,0.9999305659257512,0.02149086260230347,0.0,-0.008771697498575943,-0.008773844944171268,0.0,0.02148937040415387,1051357.0,
C1_dynamic_SOFA_clinical_comparator,0.05,22593.0,1026193.0,2571.0,0.0,1.0,0.0024991154433864327,0.02154204956969296,1.0,0.04217555132217451,0.9975008845566136,0.0,1048786.0,0.9975545889740592,0.02154204956969296,0.0,-0.02988248320478852,-0.030011189048259092,0.0,0.02148937040415387,1051357.0,
C1_dynamic_SOFA_clinical_comparator,0.1,22227.0,946086.0,82678.0,366.0,0.9838002921258797,0.08036634252364974,0.02295435463532969,0.9955926978469245,0.044861974798820474,0.9196336574763503,0.016199707874120284,968313.0,0.921012558055922,0.02295435463532969,0.004407302153075478,-0.0788444521382049,-0.08723403288427349,0.0,0.02148937040415387,1051357.0,
