alarm_before_eventual_death_stay_n,analysis_type,evaluated_stay_n,eventual_death_stay_n,eventual_lead_time_iqr_high_hours,eventual_lead_time_iqr_low_hours,eventual_lead_time_max_hours,eventual_lead_time_median_hours,false_or_non_strict_first_alarm_stay_n,first_alarm_stay_n,fp,lead_time_definition,model_name,n,net_benefit,net_benefit_minus_treat_all,net_benefit_minus_treat_none,no_alarm_stay_n,positive_n,prevalence,strict_eventual_death_capture_rate,strict_lead_time_iqr_high_hours,strict_lead_time_iqr_low_hours,strict_lead_time_max_hours,strict_lead_time_median_hours,strict_true_alarm_ppv,strict_true_alarm_stay_n,threshold,tp,treat_all_net_benefit,treat_none_net_benefit
,strict_24h_first_alarm,7214.0,893.0,,,,,5056.0,5328.0,,,MT3_recalibrated_intercept_only,,,,,1886.0,,,0.3045912653975364,15.691666666666666,3.625,23.75,8.383333333333333,0.051051051051051,272.0,0.01,,,
,strict_24h_first_alarm,7214.0,893.0,,,,,3426.0,3727.0,,,MT3_recalibrated_intercept_only,,,,,3487.0,,,0.3370660694288914,13.916666666666666,3.316666666666667,23.75,7.433333333333334,0.0807620069761202,301.0,0.02,,,
,strict_24h_first_alarm,7214.0,893.0,,,,,2552.0,2868.0,,,MT3_recalibrated_intercept_only,,,,,4346.0,,,0.3538633818589026,13.920833333333333,3.154166666666667,23.8,7.116666666666667,0.1101813110181311,316.0,0.03,,,
,strict_24h_first_alarm,7214.0,893.0,,,,,1661.0,2006.0,,,MT3_recalibrated_intercept_only,,,,,5208.0,,,0.3863381858902575,13.166666666666666,2.583333333333333,23.75,5.85,0.1719840478564307,345.0,0.05,,,
,strict_24h_first_alarm,7214.0,893.0,,,,,1120.0,1487.0,,,MT3_recalibrated_intercept_only,,,,,5727.0,,,0.4109742441209406,12.925,2.666666666666667,23.75,5.8,0.2468056489576328,367.0,0.075,,,
,strict_24h_first_alarm,7214.0,893.0,,,,,842.0,1223.0,,,MT3_recalibrated_intercept_only,,,,,5991.0,,,0.4266517357222844,11.933333333333334,2.583333333333333,23.916666666666668,5.566666666666666,0.3115290269828291,381.0,0.1,,,
,strict_24h_first_alarm,7214.0,893.0,,,,,546.0,922.0,,,MT3_recalibrated_intercept_only,,,,,6292.0,,,0.4210526315789473,11.3625,2.2875,23.35,4.9,0.4078091106290672,376.0,0.15,,,
,strict_24h_first_alarm,7214.0,893.0,,,,,403.0,750.0,,,MT3_recalibrated_intercept_only,,,,,6464.0,,,0.3885778275475924,10.333333333333332,2.275,23.83333333333333,4.533333333333333,0.4626666666666666,347.0,0.2,,,
893.0,eventual_death_leadtime_exploratory_not_strict_24h,,,177.05,19.8,5901.7,67.31666666666666,,,,eventual_death_lead_time_not_strict_24h,C1_dynamic_SOFA,,,,,,,,,,,,,,,0.005,,,
893.0,eventual_death_leadtime_exploratory_not_strict_24h,,,177.05,19.8,5901.7,67.31666666666666,,,,eventual_death_lead_time_not_strict_24h,C1_dynamic_SOFA,,,,,,,,,,,,,,,0.01,,,
893.0,eventual_death_leadtime_exploratory_not_strict_24h,,,177.05,19.8,5901.7,67.31666666666666,,,,eventual_death_lead_time_not_strict_24h,C1_dynamic_SOFA,,,,,,,,,,,,,,,0.02,,,
