model_name,component_group,dataset_name,subgroup_type,subgroup_value,sample_n,death_n,death_rate,auroc_death_ovr,auprc_death,multiclass_brier,calibration_intercept_death,calibration_slope_death
A2_MT4_best_transport_hard_phenotype,A_phenotype,mimic_internal_test,is_sepsis_on_admission,0,258032.0,5382.0,0.020857878092639674,0.8182979238356587,0.23776433138423397,0.5278461380986212,-3.3930884469019573,1.1240128955492494
A2_MT4_best_transport_hard_phenotype,A_phenotype,mimic_internal_test,is_sepsis_on_admission,1,772494.0,15425.0,0.01996779263010457,0.8065144867648142,0.19546320269684853,0.5882876861413975,-2.990830182210815,1.0465580107815955
A2_MT4_best_transport_hard_phenotype,A_phenotype,mimic_internal_test,phenotype_transfer_group,stable_transfer_Phenotype_1_2,982736.0,19254.0,0.019592240438937824,0.8074976698353747,0.2061735915597492,0.5707826197987255,-3.0416211002330584,1.0740010556756594
A2_MT4_best_transport_hard_phenotype,A_phenotype,mimic_internal_test,phenotype_transfer_group,weak_transfer_Phenotype_3,47790.0,1553.0,0.03249633814605566,0.8016931467665382,0.23183090955142713,0.6219140797961066,-3.6727498944896424,1.0842935726292144
A2_MT4_best_transport_hard_phenotype,A_phenotype,eicu_external,phenotype_label,Phenotype_1,901939.0,17536.0,0.019442556536528523,0.8097820120421083,0.1705671884901693,0.6226748561294383,-2.905338754731347,0.9872815629730928
A2_MT4_best_transport_hard_phenotype,A_phenotype,eicu_external,phenotype_label,Phenotype_2,88640.0,2482.0,0.02800090252707581,0.8191384149866597,0.2349481687336341,0.5610076881142301,-3.264817752818388,1.025820708851084
A2_MT4_best_transport_hard_phenotype,A_phenotype,eicu_external,phenotype_label,Phenotype_3,60778.0,2575.0,0.04236730395866926,0.8120100104939042,0.26368071952581296,0.6903927476378646,-3.5497620930734888,0.8592783618533387
A2_MT4_best_transport_hard_phenotype,A_phenotype,eicu_external,is_sepsis_on_admission,0,643867.0,14759.0,0.022922435844669783,0.8165962174349604,0.18753448077043455,0.6051525895871083,-3.1358266287672367,0.902059403259762
A2_MT4_best_transport_hard_phenotype,A_phenotype,eicu_external,is_sepsis_on_admission,1,407490.0,7834.0,0.019225011656727773,0.8028466119233744,0.17647373399724361,0.6470474528288457,-2.875055383965535,0.9774356815665719
A2_MT4_best_transport_hard_phenotype,A_phenotype,eicu_external,phenotype_transfer_group,stable_transfer_Phenotype_1_2,990579.0,20018.0,0.020208383177919176,0.8097174161844002,0.17779609035118107,0.617156691729761,-2.954371696645828,0.9798762848970356
A2_MT4_best_transport_hard_phenotype,A_phenotype,eicu_external,phenotype_transfer_group,weak_transfer_Phenotype_3,60778.0,2575.0,0.04236730395866926,0.8120100104939042,0.26368071952581296,0.6903927476378646,-3.5497620930734888,0.8592783618533387
A3_best_transport_soft_membership,A_phenotype,mimic_internal_test,phenotype_label,Phenotype_1,611693.0,11402.0,0.01864006944660148,0.8145057699696463,0.19955395283655258,0.603992558113954,-2.9689530322423625,1.0611299252793374
A3_best_transport_soft_membership,A_phenotype,mimic_internal_test,phenotype_label,Phenotype_2,371043.0,7852.0,0.021161967750368556,0.7974807112216495,0.21677124226975206,0.5178467536740451,-3.159587286084118,1.100247734468191
A3_best_transport_soft_membership,A_phenotype,mimic_internal_test,phenotype_label,Phenotype_3,47790.0,1553.0,0.03249633814605566,0.7947142233578305,0.22730832056426192,0.6124176345493768,-3.649013479377465,1.0724927840298055
A3_best_transport_soft_membership,A_phenotype,mimic_internal_test,is_sepsis_on_admission,0,258032.0,5382.0,0.020857878092639674,0.8165948438193941,0.23700130783896686,0.524525414526455,-3.388482337956637,1.1226202106159724
A3_best_transport_soft_membership,A_phenotype,mimic_internal_test,is_sepsis_on_admission,1,772494.0,15425.0,0.01996779263010457,0.8067615962921132,0.19553046957571357,0.5896803468608197,-2.998116749161958,1.0414292555717872
A3_best_transport_soft_membership,A_phenotype,mimic_internal_test,phenotype_transfer_group,stable_transfer_Phenotype_1_2,982736.0,19254.0,0.019592240438937824,0.8075183163464767,0.20620307037624236,0.5714672433633016,-3.0478441077513883,1.0693736309027673
A3_best_transport_soft_membership,A_phenotype,mimic_internal_test,phenotype_transfer_group,weak_transfer_Phenotype_3,47790.0,1553.0,0.03249633814605566,0.7947142233578305,0.22730832056426192,0.6124176345493768,-3.649013479377465,1.0724927840298055
A3_best_transport_soft_membership,A_phenotype,eicu_external,phenotype_label,Phenotype_1,901939.0,17536.0,0.019442556536528523,0.8053180142640408,0.16279996926605805,0.6462529215012784,-2.708691061096648,0.935007694534506
A3_best_transport_soft_membership,A_phenotype,eicu_external,phenotype_label,Phenotype_2,88640.0,2482.0,0.02800090252707581,0.822779664832178,0.22830597043129022,0.5671341597971861,-3.296329730369073,0.9992417010358396
A3_best_transport_soft_membership,A_phenotype,eicu_external,phenotype_label,Phenotype_3,60778.0,2575.0,0.04236730395866926,0.8059130305397464,0.26021698973632473,0.8319929439630843,-4.016625600454699,0.8546709470263185
A3_best_transport_soft_membership,A_phenotype,eicu_external,is_sepsis_on_admission,0,643867.0,14759.0,0.022922435844669783,0.8045804503635974,0.16491029799699225,0.6218380501880302,-3.1604636778964177,0.7720432501827114
A3_best_transport_soft_membership,A_phenotype,eicu_external,is_sepsis_on_admission,1,407490.0,7834.0,0.019225011656727773,0.7996331948232691,0.16653543836634466,0.695323450828575,-2.661939318222765,0.9124541335966803
A3_best_transport_soft_membership,A_phenotype,eicu_external,phenotype_transfer_group,stable_transfer_Phenotype_1_2,990579.0,20018.0,0.020208383177919176,0.8039793138502918,0.1682436344517383,0.6391731358027619,-2.803001085024688,0.9142306115403802
A3_best_transport_soft_membership,A_phenotype,eicu_external,phenotype_transfer_group,weak_transfer_Phenotype_3,60778.0,2575.0,0.04236730395866926,0.8059130305397464,0.26021698973632473,0.8319929439630843,-4.016625600454699,0.8546709470263185
B1_C1_MT1_physiology_only_no_proxy,B_support_intensity,mimic_internal_test,phenotype_label,Phenotype_1,611693.0,11402.0,0.01864006944660148,0.7601996138637656,0.10442091044100389,0.6176870610544417,-3.21466733226844,0.9884191431368474
