model_name,dataset_name,scenario,metric_name,bootstrap_full_sample_estimate,bootstrap_CI_lower,bootstrap_CI_upper,n_resamples_requested,n_resamples_valid,n_resamples_skipped,cluster_id_used,cluster_level,point_source
P12_true_trained_clinical_landing_model,eicu_external,primary_model,ECE,0.23892869859926108,0.23440390834762542,0.2446490126939763,1000,1000,0,patient_id,patient-level,frozen_model_file_plus_authoritative_table
P10_true_trained_ultra_minimal_sensitivity_model,eicu_external,primary_model,AUROC,0.7977562674402091,0.7833785792096832,0.8107582947762925,1000,1000,0,patient_id,patient-level,frozen_model_file_plus_authoritative_table
P10_true_trained_ultra_minimal_sensitivity_model,eicu_external,primary_model,AUPRC,0.17110631233337878,0.15260048794625541,0.1920866266966303,1000,1000,0,patient_id,patient-level,frozen_model_file_plus_authoritative_table
P10_true_trained_ultra_minimal_sensitivity_model,eicu_external,primary_model,death_Brier,0.09202886450382781,0.08880648666966008,0.09582874790773098,1000,1000,0,patient_id,patient-level,frozen_model_file_plus_authoritative_table
P10_true_trained_ultra_minimal_sensitivity_model,eicu_external,primary_model,multiclass_Brier,0.5852221883900901,0.5800301264390225,0.5906702295459783,1000,1000,0,patient_id,patient-level,frozen_model_file_plus_authoritative_table
P10_true_trained_ultra_minimal_sensitivity_model,eicu_external,primary_model,calibration_intercept,-3.1233281760063956,-3.2126073353073874,-3.0540278083498023,1000,1000,0,patient_id,patient-level,frozen_model_file_plus_authoritative_table
P10_true_trained_ultra_minimal_sensitivity_model,eicu_external,primary_model,calibration_slope,1.0132535819726045,0.9542482334174383,1.0720331400630425,1000,1000,0,patient_id,patient-level,frozen_model_file_plus_authoritative_table
P10_true_trained_ultra_minimal_sensitivity_model,eicu_external,primary_model,ECE,0.2338167927629851,0.22910879056971736,0.23965220352170835,1000,1000,0,patient_id,patient-level,frozen_model_file_plus_authoritative_table
MT3_Post_METRE_transport_reference_model,eicu_external,primary_model,AUROC,0.8090071140511993,0.795045287365869,0.8217727815556999,1000,1000,0,patient_id,patient-level,frozen_model_file_plus_authoritative_table
MT3_Post_METRE_transport_reference_model,eicu_external,primary_model,AUPRC,0.18632454288388323,0.16491713744685269,0.20768614524432744,1000,1000,0,patient_id,patient-level,frozen_model_file_plus_authoritative_table
