audit_item,model_name,dataset_scope,metric,table_value,source_value,consistent
Table4_vs_component_reassessment,C2_MT2_physiology_minimal_recency,eicu_external,auroc_death_ovr,0.7704480959183257,0.7704480959183257,True
Table4_vs_component_reassessment,C2_MT2_physiology_minimal_recency,eicu_external,auprc_death,0.0993125126815836,0.0993125126815836,True
Table4_vs_component_reassessment,C2_MT2_physiology_minimal_recency,eicu_external,multiclass_brier,0.6926403633846236,0.6926403633846236,True
Table4_vs_component_reassessment,C2_MT2_physiology_minimal_recency,eicu_external,calibration_slope_death,0.6418268506795001,0.6418268506795001,True
Table4_vs_component_reassessment,C3_physiology_full_quality,mimic_internal_test,auroc_death_ovr,0.8163412380739874,0.8163412380739874,True
Table4_vs_component_reassessment,C3_physiology_full_quality,mimic_internal_test,auprc_death,0.1432640101641378,0.1432640101641378,True
Table4_vs_component_reassessment,C3_physiology_full_quality,mimic_internal_test,multiclass_brier,0.5388150289777232,0.5388150289777232,True
Table4_vs_component_reassessment,C3_physiology_full_quality,mimic_internal_test,calibration_slope_death,0.8427731262190225,0.8427731262190225,True
Table4_vs_component_reassessment,C3_physiology_full_quality,eicu_external,auroc_death_ovr,0.6628855746281687,0.6628855746281687,True
Table4_vs_component_reassessment,C3_physiology_full_quality,eicu_external,auprc_death,0.0310703079666613,0.0310703079666613,True
Table4_vs_component_reassessment,C3_physiology_full_quality,eicu_external,multiclass_brier,0.9804440092062112,0.9804440092062112,True
Table4_vs_component_reassessment,C3_physiology_full_quality,eicu_external,calibration_slope_death,0.0457869209285732,0.0457869209285732,True
Table4_vs_component_reassessment,C4_physiology_full_quality_measurement_intensity,mimic_internal_test,auroc_death_ovr,0.8334146711572523,0.8334146711572523,True
Table4_vs_component_reassessment,C4_physiology_full_quality_measurement_intensity,mimic_internal_test,auprc_death,0.1714145224514799,0.1714145224514799,True
Table4_vs_component_reassessment,C4_physiology_full_quality_measurement_intensity,mimic_internal_test,multiclass_brier,0.5116758902361093,0.5116758902361093,True
Table4_vs_component_reassessment,C4_physiology_full_quality_measurement_intensity,mimic_internal_test,calibration_slope_death,0.8678155303423037,0.8678155303423037,True
Table4_vs_component_reassessment,C4_physiology_full_quality_measurement_intensity,eicu_external,auroc_death_ovr,0.6499300365167391,0.6499300365167391,True
Table4_vs_component_reassessment,C4_physiology_full_quality_measurement_intensity,eicu_external,auprc_death,0.0294920820131758,0.0294920820131758,True
Table4_vs_component_reassessment,C4_physiology_full_quality_measurement_intensity,eicu_external,multiclass_brier,1.0135981817086686,1.0135981817086686,True
Table4_vs_component_reassessment,C4_physiology_full_quality_measurement_intensity,eicu_external,calibration_slope_death,0.0361299596462001,0.0361299596462001,True
