model_name,threshold,n,prevalence,tp,fp,positive_n,net_benefit,treat_all_net_benefit,treat_none_net_benefit,net_benefit_minus_treat_all,net_benefit_minus_treat_none
treat_all,0.005,835788,0.02151741829267709,17984,817804,835788,0.01660042039465034,0.01660042039465034,0.0,0.0,0.01660042039465034
treat_none,0.005,835788,0.02151741829267709,0,0,0,0.0,0.01660042039465034,0.0,-0.01660042039465034,0.0
treat_all,0.01,835788,0.02151741829267709,17984,817804,835788,0.011633755851188981,0.011633755851188981,0.0,0.0,0.011633755851188981
treat_none,0.01,835788,0.02151741829267709,0,0,0,0.0,0.011633755851188981,0.0,-0.011633755851188981,0.0
treat_all,0.02,835788,0.02151741829267709,17984,817804,835788,0.0015483860129358075,0.0015483860129358075,0.0,0.0,0.0015483860129358075
treat_none,0.02,835788,0.02151741829267709,0,0,0,0.0,0.0015483860129358075,0.0,-0.0015483860129358075,0.0
treat_all,0.03,835788,0.02151741829267709,17984,817804,835788,-0.008744929595178256,-0.008744929595178256,0.0,0.0,-0.008744929595178256
treat_none,0.03,835788,0.02151741829267709,0,0,0,0.0,-0.008744929595178256,0.0,0.008744929595178256,0.0
treat_all,0.05,835788,0.02151741829267709,17984,817804,835788,-0.029981664955076755,-0.029981664955076755,0.0,0.0,-0.029981664955076755
treat_none,0.05,835788,0.02151741829267709,0,0,0,0.0,-0.029981664955076755,0.0,0.029981664955076755,0.0
treat_all,0.075,835788,0.02151741829267709,17984,817804,835788,-0.05781900725115989,-0.05781900725115989,0.0,0.0,-0.05781900725115989
treat_none,0.075,835788,0.02151741829267709,0,0,0,0.0,-0.05781900725115989,0.0,0.05781900725115989,0.0
treat_all,0.1,835788,0.02151741829267709,17984,817804,835788,-0.08720286856369212,-0.08720286856369212,0.0,0.0,-0.08720286856369212
treat_none,0.1,835788,0.02151741829267709,0,0,0,0.0,-0.08720286856369212,0.0,0.08720286856369212,0.0
treat_all,0.15,835788,0.02151741829267709,17984,817804,835788,-0.15115597847920342,-0.15115597847920342,0.0,0.0,-0.15115597847920342
treat_none,0.15,835788,0.02151741829267709,0,0,0,0.0,-0.15115597847920342,0.0,0.15115597847920342,0.0
treat_all,0.2,835788,0.02151741829267709,17984,817804,835788,-0.22310322713415365,-0.22310322713415365,0.0,0.0,-0.22310322713415365
treat_none,0.2,835788,0.02151741829267709,0,0,0,0.0,-0.22310322713415365,0.0,0.22310322713415365,0.0
treat_all,0.3,835788,0.02151741829267709,17984,817804,835788,-0.39783225958188984,-0.39783225958188984,0.0,0.0,-0.39783225958188984
treat_none,0.3,835788,0.02151741829267709,0,0,0,0.0,-0.39783225958188984,0.0,0.39783225958188984,0.0
